"level0","level1","level2","Number of children born alive","count"
"85 Years And Over","Northcote","North Island general electorates","One Child",45
"15–19 Years","Northland","North Island general electorates","One Child",99
"20–24 Years","Northland","North Island general electorates","One Child",357
"25–29 Years","Northland","North Island general electorates","One Child",327
"30–34 Years","Northland","North Island general electorates","One Child",267
"35–39 Years","Northland","North Island general electorates","One Child",261
"40–44 Years","Northland","North Island general electorates","One Child",306
"45–49 Years","Northland","North Island general electorates","One Child",321
"50–54 Years","Northland","North Island general electorates","One Child",345
"55–59 Years","Northland","North Island general electorates","One Child",276
"60–64 Years","Northland","North Island general electorates","One Child",264
"65–69 Years","Northland","North Island general electorates","One Child",171
"70–74 Years","Northland","North Island general electorates","One Child",93
"75–79 Years","Northland","North Island general electorates","One Child",63
"80–84 Years","Northland","North Island general electorates","One Child",42
"85 Years And Over","Northland","North Island general electorates","One Child",42
"15–19 Years","Ohariu","North Island general electorates","One Child",30
"20–24 Years","Ohariu","North Island general electorates","One Child",129
"25–29 Years","Ohariu","North Island general electorates","One Child",312
"30–34 Years","Ohariu","North Island general electorates","One Child",609
"35–39 Years","Ohariu","North Island general electorates","One Child",459
"40–44 Years","Ohariu","North Island general electorates","One Child",426
"45–49 Years","Ohariu","North Island general electorates","One Child",369
"50–54 Years","Ohariu","North Island general electorates","One Child",306
"55–59 Years","Ohariu","North Island general electorates","One Child",228
"60–64 Years","Ohariu","North Island general electorates","One Child",150
"65–69 Years","Ohariu","North Island general electorates","One Child",93
"70–74 Years","Ohariu","North Island general electorates","One Child",54
"75–79 Years","Ohariu","North Island general electorates","One Child",42
"80–84 Years","Ohariu","North Island general electorates","One Child",33
"85 Years And Over","Ohariu","North Island general electorates","One Child",36
"15–19 Years","Otaki","North Island general electorates","One Child",72
"20–24 Years","Otaki","North Island general electorates","One Child",276
"25–29 Years","Otaki","North Island general electorates","One Child",252
"30–34 Years","Otaki","North Island general electorates","One Child",225
"35–39 Years","Otaki","North Island general electorates","One Child",240
"40–44 Years","Otaki","North Island general electorates","One Child",285
"45–49 Years","Otaki","North Island general electorates","One Child",285
"50–54 Years","Otaki","North Island general electorates","One Child",264
"55–59 Years","Otaki","North Island general electorates","One Child",210
"60–64 Years","Otaki","North Island general electorates","One Child",183
"65–69 Years","Otaki","North Island general electorates","One Child",174
"70–74 Years","Otaki","North Island general electorates","One Child",117
"75–79 Years","Otaki","North Island general electorates","One Child",105
"80–84 Years","Otaki","North Island general electorates","One Child",69
"85 Years And Over","Otaki","North Island general electorates","One Child",102
"15–19 Years","Pakuranga","North Island general electorates","One Child",18
"20–24 Years","Pakuranga","North Island general electorates","One Child",135
"25–29 Years","Pakuranga","North Island general electorates","One Child",312
"30–34 Years","Pakuranga","North Island general electorates","One Child",498
"35–39 Years","Pakuranga","North Island general electorates","One Child",411
"40–44 Years","Pakuranga","North Island general electorates","One Child",492
"45–49 Years","Pakuranga","North Island general electorates","One Child",450
"50–54 Years","Pakuranga","North Island general electorates","One Child",354
"55–59 Years","Pakuranga","North Island general electorates","One Child",270
"60–64 Years","Pakuranga","North Island general electorates","One Child",201
"65–69 Years","Pakuranga","North Island general electorates","One Child",102
"70–74 Years","Pakuranga","North Island general electorates","One Child",81
"75–79 Years","Pakuranga","North Island general electorates","One Child",78
"80–84 Years","Pakuranga","North Island general electorates","One Child",54
"85 Years And Over","Pakuranga","North Island general electorates","One Child",87
"15–19 Years","Palmerston North","North Island general electorates","One Child",54
"20–24 Years","Palmerston North","North Island general electorates","One Child",360
"25–29 Years","Palmerston North","North Island general electorates","One Child",531
"30–34 Years","Palmerston North","North Island general electorates","One Child",441
"35–39 Years","Palmerston North","North Island general electorates","One Child",363
"40–44 Years","Palmerston North","North Island general electorates","One Child",297
"45–49 Years","Palmerston North","North Island general electorates","One Child",252
